cross	tetrad	individual	chromosome	left_bound	right_bound	mid_point	length
C2	C2-3	C2-3.2	chromosome_2	894755	895351	895053	596
C2	C2-3	C2-3.2	chromosome_2	3529858	3530989	3530423	1131
C2	C2-3	C2-3.2	chromosome_2	3660801	3688073	3674437	27272
C2	C2-3	C2-3.2	chromosome_2	7815843	7822260	7819051	6417
C2	C2-3	C2-3.2	chromosome_2	7980356	8045499	8012927	65143
C2	C2-3	C2-3.2	chromosome_3	5156604	5160808	5158706	4204
C2	C2-3	C2-3.2	chromosome_5	910468	910893	910680	425
C2	C2-3	C2-3.2	chromosome_5	1882058	1906983	1894520	24925
C2	C2-3	C2-3.2	chromosome_6	3975198	3976761	3975979	1563
C2	C2-3	C2-3.2	chromosome_7	1011656	1320640	1166148	308984
C2	C2-3	C2-3.2	chromosome_9	2644728	2645134	2644931	406
C2	C2-3	C2-3.2	chromosome_9	4049226	4049389	4049307	163
C2	C2-3	C2-3.2	chromosome_11	2193291	2381193	2287242	187902
C2	C2-3	C2-3.2	chromosome_12	1648332	1648379	1648355	47
C2	C2-3	C2-3.2	chromosome_13	1239864	1240191	1240027	327
C2	C2-3	C2-3.2	chromosome_16	3514123	4008618	3761370	494495
C2	C2-3	C2-3.2	chromosome_17	1494819	1495109	1494964	290
C2	C2-3	C2-3.2	chromosome_17	4679071	4704427	4691749	25356
C2	C2-3	C2-3.2	chromosome_17	5045756	5063031	5054393	17275
C2	C2-3	C2-3.2	chromosome_17	6800220	6800239	6800229	19
C2	C2-3	C2-3.3	chromosome_2	3529213	3529842	3529527	629
C2	C2-3	C2-3.3	chromosome_2	3660801	3688073	3674437	27272
C2	C2-3	C2-3.3	chromosome_4	1323264	1331608	1327436	8344
C2	C2-3	C2-3.3	chromosome_5	910252	910381	910316	129
C2	C2-3	C2-3.3	chromosome_5	1882058	1906983	1894520	24925
C2	C2-3	C2-3.3	chromosome_6	5731657	5833608	5782632	101951
C2	C2-3	C2-3.3	chromosome_7	1011656	1320640	1166148	308984
C2	C2-3	C2-3.3	chromosome_9	2644728	2645134	2644931	406
C2	C2-3	C2-3.3	chromosome_9	4049226	4049389	4049307	163
C2	C2-3	C2-3.3	chromosome_9	5684077	5685877	5684977	1800
C2	C2-3	C2-3.3	chromosome_10	4924609	4978717	4951663	54108
C2	C2-3	C2-3.3	chromosome_11	2193291	2381193	2287242	187902
C2	C2-3	C2-3.3	chromosome_12	1648553	1648757	1648655	204
C2	C2-3	C2-3.3	chromosome_14	1718255	1733416	1725835	15161
C2	C2-3	C2-3.3	chromosome_15	268421	271438	269929	3017
C2	C2-3	C2-3.3	chromosome_16	3514123	4008618	3761370	494495
C2	C2-3	C2-3.3	chromosome_17	1494472	1494533	1494502	61
C2	C2-3	C2-3.3	chromosome_17	4679071	4704427	4691749	25356
C2	C2-3	C2-3.3	chromosome_17	5045756	5063031	5054393	17275
C2	C2-3	C2-3.3	chromosome_17	6800476	6800903	6800689	427
C2	C2-3	C2-3.4	chromosome_1	3789815	3791748	3790781	1933
C2	C2-3	C2-3.4	chromosome_2	894424	894514	894469	90
C2	C2-3	C2-3.4	chromosome_2	7815843	7822260	7819051	6417
C2	C2-3	C2-3.4	chromosome_2	7980356	8045499	8012927	65143
C2	C2-3	C2-3.4	chromosome_3	5156604	5160808	5158706	4204
C2	C2-3	C2-3.4	chromosome_6	3975198	3976761	3975979	1563
C2	C2-3	C2-3.4	chromosome_8	157780	172484	165132	14704
C2	C2-3	C2-3.4	chromosome_8	209815	229176	219495	19361
C2	C2-3	C2-3.4	chromosome_8	2661838	2662041	2661939	203
C2	C2-3	C2-3.4	chromosome_9	2644728	2645134	2644931	406
C2	C2-3	C2-3.4	chromosome_9	4049226	4049389	4049307	163
C2	C2-3	C2-3.4	chromosome_10	230530	232238	231384	1708
C2	C2-3	C2-3.4	chromosome_12	7725398	7725490	7725444	92
C2	C2-3	C2-3.4	chromosome_13	1239722	1239757	1239739	35
C2	C2-3	C2-3.4	chromosome_17	4679071	4704427	4691749	25356
C2	C2-3	C2-3.4	chromosome_17	5045756	5063031	5054393	17275
C2	C2-12	C2-12.1	chromosome_2	964900	1369313	1167106	404413
C2	C2-12	C2-12.1	chromosome_2	7980356	8173088	8076722	192732
C2	C2-12	C2-12.1	chromosome_3	5335368	5344744	5340056	9376
C2	C2-12	C2-12.1	chromosome_4	70844	158013	114428	87169
C2	C2-12	C2-12.1	chromosome_5	239775	239931	239853	156
C2	C2-12	C2-12.1	chromosome_7	1617629	1617709	1617669	80
C2	C2-12	C2-12.1	chromosome_7	4874070	4878283	4876176	4213
C2	C2-12	C2-12.1	chromosome_8	2262233	2265035	2263634	2802
C2	C2-12	C2-12.1	chromosome_12	1035425	1035628	1035526	203
C2	C2-12	C2-12.1	chromosome_13	945073	945121	945097	48
C2	C2-12	C2-12.1	chromosome_16	3932333	4008618	3970475	76285
C2	C2-12	C2-12.1	chromosome_17	5083199	5125295	5104247	42096
C2	C2-12	C2-12.2	chromosome_1	3789815	3791748	3790781	1933
C2	C2-12	C2-12.2	chromosome_2	7620849	7620910	7620879	61
C2	C2-12	C2-12.2	chromosome_2	8354205	8398762	8376483	44557
C2	C2-12	C2-12.2	chromosome_2	8419496	8423612	8421554	4116
C2	C2-12	C2-12.2	chromosome_3	1654837	1655200	1655018	363
C2	C2-12	C2-12.2	chromosome_5	47057	162697	104877	115640
C2	C2-12	C2-12.2	chromosome_6	2371503	2393854	2382678	22351
C2	C2-12	C2-12.2	chromosome_6	5905338	5918224	5911781	12886
C2	C2-12	C2-12.2	chromosome_9	2123045	2123120	2123082	75
C2	C2-12	C2-12.2	chromosome_9	6898885	6903816	6901350	4931
C2	C2-12	C2-12.2	chromosome_10	1522428	1522712	1522570	284
C2	C2-12	C2-12.2	chromosome_11	3497956	3498207	3498081	251
C2	C2-12	C2-12.2	chromosome_12	8912642	8916083	8914362	3441
C2	C2-12	C2-12.2	chromosome_13	945121	953075	949098	7954
C2	C2-12	C2-12.2	chromosome_13	3509215	3523712	3516463	14497
C2	C2-12	C2-12.2	chromosome_14	448250	449071	448660	821
C2	C2-12	C2-12.2	chromosome_15	1361347	1422640	1391993	61293
C2	C2-12	C2-12.2	chromosome_17	4679071	4704427	4691749	25356
C2	C2-12	C2-12.2	chromosome_17	5022687	5063031	5042859	40344
C2	C2-12	C2-12.3	chromosome_1	3789815	3791748	3790781	1933
C2	C2-12	C2-12.3	chromosome_2	7980356	8173088	8076722	192732
C2	C2-12	C2-12.3	chromosome_3	1655282	1656001	1655641	719
C2	C2-12	C2-12.3	chromosome_4	70844	158013	114428	87169
C2	C2-12	C2-12.3	chromosome_5	47057	162697	104877	115640
C2	C2-12	C2-12.3	chromosome_6	5905338	5918224	5911781	12886
C2	C2-12	C2-12.3	chromosome_8	2257824	2262170	2259997	4346
C2	C2-12	C2-12.3	chromosome_9	6903943	6904077	6904010	134
C2	C2-12	C2-12.3	chromosome_12	1035647	1035796	1035721	149
C2	C2-12	C2-12.3	chromosome_12	8912642	8916083	8914362	3441
C2	C2-12	C2-12.3	chromosome_16	3932333	4008618	3970475	76285
C2	C2-12	C2-12.3	chromosome_17	5083199	5125295	5104247	42096
C2	C2-12	C2-12.4	chromosome_2	964900	1369313	1167106	404413
C2	C2-12	C2-12.4	chromosome_2	7620476	7620668	7620572	192
C2	C2-12	C2-12.4	chromosome_2	8354205	8398762	8376483	44557
C2	C2-12	C2-12.4	chromosome_2	8419496	8423612	8421554	4116
C2	C2-12	C2-12.4	chromosome_3	5335368	5344744	5340056	9376
C2	C2-12	C2-12.4	chromosome_5	240192	240408	240300	216
C2	C2-12	C2-12.4	chromosome_6	2371503	2393854	2382678	22351
C2	C2-12	C2-12.4	chromosome_7	1617214	1617538	1617376	324
C2	C2-12	C2-12.4	chromosome_7	4874070	4878283	4876176	4213
C2	C2-12	C2-12.4	chromosome_9	2122748	2122934	2122841	186
C2	C2-12	C2-12.4	chromosome_10	1523109	1523133	1523121	24
C2	C2-12	C2-12.4	chromosome_11	3498207	3498996	3498601	789
C2	C2-12	C2-12.4	chromosome_13	3509215	3523712	3516463	14497
C2	C2-12	C2-12.4	chromosome_14	448250	449071	448660	821
C2	C2-12	C2-12.4	chromosome_15	1361347	1422640	1391993	61293
C2	C2-12	C2-12.4	chromosome_17	4679071	4704427	4691749	25356
C2	C2-12	C2-12.4	chromosome_17	5022687	5063031	5042859	40344
C2	C2-15	C2-15.1	chromosome_1	1009760	1009838	1009799	78
C2	C2-15	C2-15.1	chromosome_2	2890548	3025815	2958181	135267
C2	C2-15	C2-15.1	chromosome_2	3660801	3688073	3674437	27272
C2	C2-15	C2-15.1	chromosome_3	2473416	2473493	2473454	77
C2	C2-15	C2-15.1	chromosome_5	47057	162635	104846	115578
C2	C2-15	C2-15.1	chromosome_5	1392060	1392389	1392224	329
C2	C2-15	C2-15.1	chromosome_5	1882058	1906983	1894520	24925
C2	C2-15	C2-15.1	chromosome_6	7691712	7694842	7693277	3130
C2	C2-15	C2-15.1	chromosome_7	1533167	1533269	1533218	102
C2	C2-15	C2-15.1	chromosome_8	92778	94063	93420	1285
C2	C2-15	C2-15.1	chromosome_9	2644728	2645134	2644931	406
C2	C2-15	C2-15.1	chromosome_9	4049203	4049566	4049384	363
C2	C2-15	C2-15.1	chromosome_14	2796757	2800295	2798526	3538
C2	C2-15	C2-15.1	chromosome_15	1126212	1126243	1126227	31
C2	C2-15	C2-15.1	chromosome_16	4136206	4142681	4139443	6475
C2	C2-15	C2-15.1	chromosome_17	1642384	1642555	1642469	171
C2	C2-15	C2-15.2	chromosome_1	6475157	6489405	6482281	14248
C2	C2-15	C2-15.2	chromosome_2	2890548	3025815	2958181	135267
C2	C2-15	C2-15.2	chromosome_2	3285042	3293848	3289445	8806
C2	C2-15	C2-15.2	chromosome_3	2473776	2473875	2473825	99
C2	C2-15	C2-15.2	chromosome_4	2189605	2189615	2189610	10
C2	C2-15	C2-15.2	chromosome_5	47057	162635	104846	115578
C2	C2-15	C2-15.2	chromosome_5	1392562	1392609	1392585	47
C2	C2-15	C2-15.2	chromosome_5	1882058	1906983	1894520	24925
C2	C2-15	C2-15.2	chromosome_7	1533423	1533672	1533547	249
C2	C2-15	C2-15.2	chromosome_9	2644728	2645134	2644931	406
C2	C2-15	C2-15.2	chromosome_9	4049203	4049566	4049384	363
C2	C2-15	C2-15.2	chromosome_10	4536691	4536847	4536769	156
C2	C2-15	C2-15.2	chromosome_11	2193291	2381193	2287242	187902
C2	C2-15	C2-15.2	chromosome_14	2796757	2800295	2798526	3538
C2	C2-15	C2-15.2	chromosome_15	1126009	1126083	1126046	74
C2	C2-15	C2-15.2	chromosome_16	4136206	4142681	4139443	6475
C2	C2-15	C2-15.2	chromosome_17	1642898	1643152	1643025	254
C2	C2-15	C2-15.3	chromosome_1	1009566	1009611	1009588	45
C2	C2-15	C2-15.3	chromosome_2	2890548	3025815	2958181	135267
C2	C2-15	C2-15.3	chromosome_2	3660801	3688073	3674437	27272
C2	C2-15	C2-15.3	chromosome_2	6311363	6312312	6311837	949
C2	C2-15	C2-15.3	chromosome_2	7980356	8045499	8012927	65143
C2	C2-15	C2-15.3	chromosome_5	47057	162635	104846	115578
C2	C2-15	C2-15.3	chromosome_6	1441469	1441706	1441587	237
C2	C2-15	C2-15.3	chromosome_6	7691712	7694842	7693277	3130
C2	C2-15	C2-15.3	chromosome_8	92778	94063	93420	1285
C2	C2-15	C2-15.3	chromosome_9	2644728	2645134	2644931	406
C2	C2-15	C2-15.3	chromosome_9	4049203	4049566	4049384	363
C2	C2-15	C2-15.3	chromosome_9	4877534	4881847	4879690	4313
C2	C2-15	C2-15.3	chromosome_12	2138962	2169267	2154114	30305
C2	C2-15	C2-15.3	chromosome_12	9113109	9113328	9113218	219
C2	C2-15	C2-15.3	chromosome_13	4741466	4741919	4741692	453
C2	C2-15	C2-15.4	chromosome_1	6475157	6489405	6482281	14248
C2	C2-15	C2-15.4	chromosome_2	2890548	3025815	2958181	135267
C2	C2-15	C2-15.4	chromosome_2	3285042	3293848	3289445	8806
C2	C2-15	C2-15.4	chromosome_2	6310921	6311079	6311000	158
C2	C2-15	C2-15.4	chromosome_2	7980356	8045499	8012927	65143
C2	C2-15	C2-15.4	chromosome_4	2189880	2189987	2189933	107
C2	C2-15	C2-15.4	chromosome_5	47057	162635	104846	115578
C2	C2-15	C2-15.4	chromosome_6	1441469	1441706	1441587	237
C2	C2-15	C2-15.4	chromosome_9	2644728	2645134	2644931	406
C2	C2-15	C2-15.4	chromosome_9	4049203	4049566	4049384	363
C2	C2-15	C2-15.4	chromosome_9	4877372	4877383	4877377	11
C2	C2-15	C2-15.4	chromosome_10	4536151	4536624	4536387	473
C2	C2-15	C2-15.4	chromosome_11	2193291	2381193	2287242	187902
C2	C2-15	C2-15.4	chromosome_12	2138962	2169267	2154114	30305
C2	C2-15	C2-15.4	chromosome_12	9113580	9113619	9113599	39
C2	C2-15	C2-15.4	chromosome_13	4740142	4741391	4740766	1249
C2	C2-19	C2-19.1	chromosome_2	2890548	3025815	2958181	135267
C2	C2-19	C2-19.1	chromosome_2	3660801	3688073	3674437	27272
C2	C2-19	C2-19.1	chromosome_2	7980356	8388020	8184188	407664
C2	C2-19	C2-19.1	chromosome_3	5078557	5078961	5078759	404
C2	C2-19	C2-19.1	chromosome_5	406874	406999	406936	125
C2	C2-19	C2-19.1	chromosome_6	4223915	4224420	4224167	505
C2	C2-19	C2-19.1	chromosome_9	2644728	2645134	2644931	406
C2	C2-19	C2-19.1	chromosome_9	4049226	4049389	4049307	163
C2	C2-19	C2-19.1	chromosome_9	5684077	5685877	5684977	1800
C2	C2-19	C2-19.1	chromosome_11	1337258	1373589	1355423	36331
C2	C2-19	C2-19.1	chromosome_11	2013026	2013124	2013075	98
C2	C2-19	C2-19.1	chromosome_11	2193291	2381193	2287242	187902
C2	C2-19	C2-19.1	chromosome_12	8252814	8253271	8253042	457
C2	C2-19	C2-19.1	chromosome_17	4679071	4704427	4691749	25356
C2	C2-19	C2-19.1	chromosome_17	5045756	5063031	5054393	17275
C2	C2-19	C2-19.2	chromosome_1	6480073	6489405	6484739	9332
C2	C2-19	C2-19.2	chromosome_2	2890548	3025815	2958181	135267
C2	C2-19	C2-19.2	chromosome_2	3660801	3688073	3674437	27272
C2	C2-19	C2-19.2	chromosome_2	7980356	8388020	8184188	407664
C2	C2-19	C2-19.2	chromosome_3	5079148	5079163	5079155	15
C2	C2-19	C2-19.2	chromosome_5	406638	406689	406663	51
C2	C2-19	C2-19.2	chromosome_6	4223235	4223737	4223486	502
C2	C2-19	C2-19.2	chromosome_7	1617538	1617629	1617583	91
C2	C2-19	C2-19.2	chromosome_9	2644728	2645134	2644931	406
C2	C2-19	C2-19.2	chromosome_9	4049226	4049389	4049307	163
C2	C2-19	C2-19.2	chromosome_10	6212124	6212548	6212336	424
C2	C2-19	C2-19.2	chromosome_12	3110330	3110341	3110335	11
C2	C2-19	C2-19.2	chromosome_14	449071	449138	449104	67
C2	C2-19	C2-19.2	chromosome_17	3279496	3281510	3280503	2014
C2	C2-19	C2-19.2	chromosome_17	4679071	4704427	4691749	25356
C2	C2-19	C2-19.2	chromosome_17	5045756	5063031	5054393	17275
C2	C2-19	C2-19.3	chromosome_1	2580504	2580691	2580597	187
C2	C2-19	C2-19.3	chromosome_1	6480073	6489405	6484739	9332
C2	C2-19	C2-19.3	chromosome_2	894514	894755	894634	241
C2	C2-19	C2-19.3	chromosome_2	2890548	3025815	2958181	135267
C2	C2-19	C2-19.3	chromosome_2	3660801	3688073	3674437	27272
C2	C2-19	C2-19.3	chromosome_2	8463466	8463614	8463540	148
C2	C2-19	C2-19.3	chromosome_4	2471380	2471397	2471388	17
C2	C2-19	C2-19.3	chromosome_8	937550	940548	939049	2998
C2	C2-19	C2-19.3	chromosome_9	2644728	2645134	2644931	406
C2	C2-19	C2-19.3	chromosome_9	4049226	4049389	4049307	163
C2	C2-19	C2-19.3	chromosome_9	5685877	5686362	5686119	485
C2	C2-19	C2-19.3	chromosome_10	1109577	1111607	1110592	2030
C2	C2-19	C2-19.3	chromosome_11	1337258	1373589	1355423	36331
C2	C2-19	C2-19.3	chromosome_11	2012485	2012947	2012716	462
C2	C2-19	C2-19.3	chromosome_11	2193291	2381193	2287242	187902
C2	C2-19	C2-19.3	chromosome_12	8252814	8253271	8253042	457
C2	C2-19	C2-19.3	chromosome_13	3154354	3154404	3154379	50
C2	C2-19	C2-19.3	chromosome_15	1361364	1384344	1372854	22980
C2	C2-19	C2-19.3	chromosome_16	4495620	4498607	4497113	2987
C2	C2-19	C2-19.3	chromosome_17	4679071	4704427	4691749	25356
C2	C2-19	C2-19.3	chromosome_17	5045756	5063031	5054393	17275
C2	C2-19	C2-19.4	chromosome_1	2580706	2580796	2580751	90
C2	C2-19	C2-19.4	chromosome_2	894755	895351	895053	596
C2	C2-19	C2-19.4	chromosome_2	2890548	3025815	2958181	135267
C2	C2-19	C2-19.4	chromosome_2	3660801	3688073	3674437	27272
C2	C2-19	C2-19.4	chromosome_2	8463614	8463726	8463670	112
C2	C2-19	C2-19.4	chromosome_4	2471099	2471296	2471197	197
C2	C2-19	C2-19.4	chromosome_7	1617844	1617869	1617856	25
C2	C2-19	C2-19.4	chromosome_8	940591	941028	940809	437
C2	C2-19	C2-19.4	chromosome_9	2644728	2645134	2644931	406
C2	C2-19	C2-19.4	chromosome_9	4049226	4049389	4049307	163
C2	C2-19	C2-19.4	chromosome_10	1109577	1111607	1110592	2030
C2	C2-19	C2-19.4	chromosome_10	6212124	6212548	6212336	424
C2	C2-19	C2-19.4	chromosome_12	3110395	3110933	3110664	538
C2	C2-19	C2-19.4	chromosome_13	3153951	3154340	3154145	389
C2	C2-19	C2-19.4	chromosome_14	448250	449071	448660	821
C2	C2-19	C2-19.4	chromosome_15	1361364	1384344	1372854	22980
C2	C2-19	C2-19.4	chromosome_16	4495620	4498607	4497113	2987
C2	C2-19	C2-19.4	chromosome_17	3279496	3281510	3280503	2014
C2	C2-19	C2-19.4	chromosome_17	4679071	4704427	4691749	25356
C2	C2-19	C2-19.4	chromosome_17	5045756	5063031	5054393	17275
C2	C2-20	C2-20.1	chromosome_1	2030890	2035598	2033244	4708
C2	C2-20	C2-20.1	chromosome_1	6480073	6489405	6484739	9332
C2	C2-20	C2-20.1	chromosome_2	2890548	3025815	2958181	135267
C2	C2-20	C2-20.1	chromosome_2	3660801	3688073	3674437	27272
C2	C2-20	C2-20.1	chromosome_2	6967208	6986819	6977013	19611
C2	C2-20	C2-20.1	chromosome_2	7980356	8045499	8012927	65143
C2	C2-20	C2-20.1	chromosome_2	9037650	9096779	9067214	59129
C2	C2-20	C2-20.1	chromosome_5	629131	632151	630641	3020
C2	C2-20	C2-20.1	chromosome_7	3626536	3626699	3626617	163
C2	C2-20	C2-20.1	chromosome_8	3339864	3340047	3339955	183
C2	C2-20	C2-20.1	chromosome_9	3100733	3127651	3114192	26918
C2	C2-20	C2-20.1	chromosome_9	3149503	3149900	3149701	397
C2	C2-20	C2-20.1	chromosome_9	3468845	3469118	3468981	273
C2	C2-20	C2-20.1	chromosome_9	4049103	4049609	4049356	506
C2	C2-20	C2-20.1	chromosome_13	3982075	3984412	3983243	2337
C2	C2-20	C2-20.1	chromosome_16	2126622	2134101	2130361	7479
C2	C2-20	C2-20.1	chromosome_17	4679071	4704427	4691749	25356
C2	C2-20	C2-20.1	chromosome_17	4823411	4823860	4823635	449
C2	C2-20	C2-20.1	chromosome_17	5630379	5630416	5630397	37
C2	C2-20	C2-20.2	chromosome_2	2393146	2398282	2395714	5136
C2	C2-20	C2-20.2	chromosome_2	2890548	3025815	2958181	135267
C2	C2-20	C2-20.2	chromosome_2	3660801	3688073	3674437	27272
C2	C2-20	C2-20.2	chromosome_3	4916455	4917504	4916979	1049
C2	C2-20	C2-20.2	chromosome_4	3375158	3375311	3375234	153
C2	C2-20	C2-20.2	chromosome_6	2154170	2154286	2154228	116
C2	C2-20	C2-20.2	chromosome_6	6044393	6044685	6044539	292
C2	C2-20	C2-20.2	chromosome_6	7451743	7460076	7455909	8333
C2	C2-20	C2-20.2	chromosome_9	2190164	2190609	2190386	445
C2	C2-20	C2-20.2	chromosome_10	2407659	2408524	2408091	865
C2	C2-20	C2-20.2	chromosome_11	3497956	3498207	3498081	251
C2	C2-20	C2-20.2	chromosome_12	5878122	5878158	5878140	36
C2	C2-20	C2-20.2	chromosome_14	1718255	1733416	1725835	15161
C2	C2-20	C2-20.2	chromosome_16	6759155	6759345	6759250	190
C2	C2-20	C2-20.2	chromosome_17	4679071	4704427	4691749	25356
C2	C2-20	C2-20.2	chromosome_17	5049816	5063031	5056423	13215
C2	C2-20	C2-20.3	chromosome_2	2393146	2398282	2395714	5136
C2	C2-20	C2-20.3	chromosome_2	2890548	3025815	2958181	135267
C2	C2-20	C2-20.3	chromosome_2	3660801	3688073	3674437	27272
C2	C2-20	C2-20.3	chromosome_2	6967208	6986819	6977013	19611
C2	C2-20	C2-20.3	chromosome_2	7980356	8045499	8012927	65143
C2	C2-20	C2-20.3	chromosome_3	596945	600185	598565	3240
C2	C2-20	C2-20.3	chromosome_5	629131	632151	630641	3020
C2	C2-20	C2-20.3	chromosome_6	6044393	6044685	6044539	292
C2	C2-20	C2-20.3	chromosome_6	7451743	7460076	7455909	8333
C2	C2-20	C2-20.3	chromosome_9	3100733	3127651	3114192	26918
C2	C2-20	C2-20.3	chromosome_9	3149503	3149900	3149701	397
C2	C2-20	C2-20.3	chromosome_9	3469377	3469463	3469420	86
C2	C2-20	C2-20.3	chromosome_9	4049103	4049609	4049356	506
C2	C2-20	C2-20.3	chromosome_11	3498254	3498588	3498421	334
C2	C2-20	C2-20.3	chromosome_12	5878413	5878668	5878540	255
C2	C2-20	C2-20.3	chromosome_15	1817098	1866288	1841693	49190
C2	C2-20	C2-20.3	chromosome_17	4679071	4704427	4691749	25356
C2	C2-20	C2-20.3	chromosome_17	5049816	5063031	5056423	13215
